frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
48,346.17,125.11,401.9,195.1,283.37,192.81,413.38,284.97,268.79,279.4,422.7,369.41,275.24,357.72,380.13,367.24,304.61,367.24,-1,-1,-1,-1,-1,-1,-1,-1
49,346.93,125.33,401.85,195.18,284.92,192.6,415.12,283.94,269.76,277.37,427.57,364.7,274.56,352.48,379.11,365.17,304.73,364.85,-1,-1,-1,-1,-1,-1,-1,-1
50,347.44,125.72,402.8,195.09,284.95,192.3,418.15,283.24,269.69,274.79,435.46,369.37,271.41,345.66,380.48,367.74,305.01,367.28,-1,-1,-1,-1,-1,-1,-1,-1
51,347.77,125.0,400.56,195.69,288.03,191.49,421.02,284.87,269.26,274.51,438.33,365.57,266.67,341.72,382.6,367.19,310.06,366.49,-1,-1,-1,-1,-1,-1,-1,-1
52,348.19,125.17,401.09,195.7,289.54,192.86,423.94,285.1,268.07,276.61,453.9,372.58,255.59,344.62,384.95,367.74,312.89,367.77,-1,-1,-1,-1,-1,-1,-1,-1
53,348.32,125.41,400.96,195.93,290.76,193.81,425.08,283.71,265.76,274.6,460.94,371.56,246.1,334.18,385.47,366.73,314.21,366.91,-1,-1,-1,-1,-1,-1,-1,-1
54,348.06,125.66,400.72,195.5,289.62,193.61,430.69,280.04,264.98,271.87,464.07,364.8,241.42,333.85,380.5,362.61,308.88,362.41,-1,-1,311.74,473.96,-1,-1,-1,-1
55,348.91,125.4,400.13,194.47,291.91,193.07,432.77,276.68,260.2,270.55,469.33,351.44,230.87,332.82,383.05,364.67,313.39,364.98,-1,-1,-1,-1,-1,-1,-1,-1
56,348.59,125.97,401.51,193.04,292.11,195.45,437.05,270.54,255.44,274.25,475.09,344.42,221.2,346.18,382.0,368.34,312.0,369.92,-1,-1,-1,-1,-1,-1,-1,-1
57,348.62,126.87,401.51,194.23,290.12,195.2,443.73,267.1,253.08,268.62,485.35,333.93,207.09,339.46,379.69,366.28,307.4,366.91,-1,-1,-1,-1,-1,-1,-1,-1
58,349.17,126.8,401.86,193.42,293.3,195.53,448.86,267.04,247.33,268.59,495.41,334.51,197.24,335.23,380.96,366.08,311.81,367.21,-1,-1,-1,-1,-1,-1,-1,-1
59,348.86,127.32,402.43,194.57,291.17,194.19,454.25,263.45,246.72,260.78,505.84,326.42,187.73,329.02,381.19,363.0,309.04,362.98,-1,-1,-1,-1,-1,-1,-1,-1
60,349.26,127.21,402.42,194.32,294.07,193.93,464.23,263.82,241.71,260.03,524.92,329.25,181.43,322.94,379.19,365.97,309.54,365.75,-1,-1,-1,-1,-1,-1,-1,-1
61,349.43,127.03,399.72,193.54,292.35,193.65,470.25,257.74,239.74,256.15,547.1,321.63,172.55,318.72,379.65,359.82,311.31,360.75,-1,-1,314.54,469.41,-1,-1,-1,-1
62,348.99,128.52,402.36,191.3,294.83,194.34,470.06,251.66,237.28,254.18,530.19,311.71,163.84,313.32,382.01,364.95,312.76,366.01,-1,-1,-1,-1,-1,-1,-1,-1
63,348.9,128.38,402.27,191.42,296.23,193.95,475.36,249.03,235.73,250.84,544.26,306.47,161.62,306.17,382.85,363.8,313.9,364.94,-1,-1,-1,-1,-1,-1,-1,-1
64,349.3,129.01,404.23,191.09,296.34,195.29,479.99,244.08,228.84,250.28,546.64,298.34,151.66,304.65,388.08,367.33,317.45,369.13,-1,-1,-1,-1,-1,-1,-1,-1
65,349.54,128.99,403.09,190.32,296.55,196.01,483.17,240.82,228.69,250.73,556.56,289.96,142.75,299.89,386.93,364.54,316.87,366.87,-1,-1,-1,-1,-1,-1,-1,-1
66,349.58,128.38,403.55,191.29,296.4,197.4,489.73,240.87,222.73,252.19,565.71,285.89,134.46,302.01,387.26,360.79,319.21,363.25,-1,-1,-1,-1,-1,-1,-1,-1
67,349.64,128.35,406.42,190.72,296.36,196.85,495.35,239.13,222.27,249.55,568.72,283.56,133.39,298.82,389.59,360.73,320.07,362.95,-1,-1,-1,-1,-1,-1,-1,-1
68,349.52,129.27,409.65,191.87,296.73,196.34,499.45,239.63,220.85,246.6,569.21,283.23,130.65,297.93,392.39,368.81,319.2,370.12,-1,-1,-1,-1,-1,-1,-1,-1
69,350.28,128.51,408.55,190.85,296.55,197.64,500.84,237.58,221.34,248.8,568.37,278.9,131.57,293.98,390.41,363.0,319.8,365.04,-1,-1,-1,-1,-1,-1,-1,-1
70,350.29,128.87,408.42,191.0,296.62,197.42,499.52,237.84,219.48,248.47,569.11,278.88,125.41,295.05,392.05,360.03,322.07,361.95,-1,-1,-1,-1,-1,-1,-1,-1
71,351.37,128.82,408.28,190.79,295.85,197.42,499.76,237.13,219.56,248.84,571.49,277.77,122.47,294.37,391.22,361.17,320.51,363.29,-1,-1,-1,-1,-1,-1,-1,-1
72,350.94,129.15,408.71,191.02,296.62,197.9,500.22,236.81,217.93,249.43,569.81,279.52,123.73,295.69,392.03,361.5,321.57,363.65,-1,-1,-1,-1,-1,-1,-1,-1
